estacion_id,fecha,lluvia_total,temp_media
CAAZ,2016-01-01,209.5,27.306451612903224
CAAZ,2016-02-01,187.0,27.044827586206896
CAAZ,2016-03-01,116.2,23.383870967741935
CAAZ,2016-04-01,128.29999999999998,23.823333333333334
CAAZ,2016-05-01,132.6,16.306451612903224
CAAZ,2016-06-01,10.8,13.716666666666667
CAAZ,2016-07-01,42.7,17.003225806451614
CAAZ,2016-08-01,145.8,18.270967741935483
CAAZ,2016-09-01,35.5,18.086666666666666
CAAZ,2016-10-01,222.1,21.9
CAAZ,2016-11-01,236.6,22.783333333333335
CAAZ,2016-12-01,126.9,25.490322580645163
CAAZ,2017-01-01,113.6,27.19677419354839
CAAZ,2017-02-01,114.6,26.02857142857143
CAAZ,2017-03-01,163.5,24.887096774193548
CAAZ,2017-04-01,272.9,20.80666666666667
CAAZ,2017-05-01,249.20000000000002,19.52258064516129
CAAZ,2017-06-01,86.8,17.470000000000002
CAAZ,2017-07-01,10.6,18.106451612903225
CAAZ,2017-08-01,105.0,20.141935483870967
CAAZ,2017-09-01,48.400000000000006,22.476666666666667
CAAZ,2017-10-01,427.3,22.370967741935484
CAAZ,2017-11-01,200.4,22.886666666666667
CAAZ,2017-12-01,219.1,26.496774193548386
CAAZ,2018-01-01,196.4,25.596774193548388
CAAZ,2018-02-01,110.0,25.349999999999998
CAAZ,2018-03-01,132.6,24.687096774193545
CAAZ,2018-04-01,0.0,24.466666666666665
CAAZ,2018-05-01,168.4,20.616129032258065
CAAZ,2018-06-01,24.5,15.110000000000001
CAAZ,2018-07-01,26.9,16.54516129032258
CAAZ,2018-08-01,57.4,15.98709677419355
CAAZ,2018-09-01,201.2,20.896666666666665
CAAZ,2018-10-01,233.0,22.083870967741937
CAAZ,2018-11-01,223.6,24.783333333333335
CAAZ,2018-12-01,70.9,26.141935483870967
CAAZ,2019-01-01,76.5,27.825806451612905
CAAZ,2019-02-01,58.2,26.325
CAAZ,2019-03-01,151.6,23.706451612903226
CAAZ,2019-04-01,149.6,22.39
CAAZ,2019-05-01,309.0,20.061290322580643
CAAZ,2019-06-01,27.8,19.88
CAAZ,2019-07-01,67.1,15.890322580645162
CAAZ,2019-08-01,38.6,17.79032258064516
CAAZ,2019-09-01,13.1,21.28666666666667
CAAZ,2019-10-01,43.6,23.929032258064513
CAAZ,2019-11-01,66.4,26.836666666666666
CAAZ,2019-12-01,95.8,25.687096774193545
CAAZ,2020-01-01,218.8,26.46451612903226
CAAZ,2020-02-01,35.4,25.79655172413793
CAAZ,2020-03-01,39.7,26.345161290322583
CAAZ,2020-04-01,61.6,21.403333333333332
CAAZ,2020-05-01,112.9,17.406451612903226
CAAZ,2020-06-01,133.8,18.95
CAAZ,2020-07-01,89.1,16.24838709677419
CAAZ,2020-08-01,10.1,19.69677419354839
CAAZ,2020-09-01,23.0,21.459999999999997
CAAZ,2020-10-01,87.9,24.496774193548386
CAAZ,2020-11-01,67.8,24.85
CAAZ,2020-12-01,181.29999999999998,25.961290322580645
CAAZ,2021-01-01,326.0,25.925806451612903
CAAZ,2021-02-01,61.9,24.982142857142858
CAAZ,2021-03-01,61.0,24.38064516129032
CAAZ,2021-04-01,123.1,22.246666666666666
CAAZ,2021-05-01,37.5,17.996774193548386
CAAZ,2021-06-01,37.7,16.37
CAAZ,2021-07-01,43.099999999999994,16.14516129032258
CAAZ,2021-08-01,12.2,19.845161290322583
CAAZ,2021-09-01,85.5,22.993333333333332
CAAZ,2021-10-01,127.6,22.84193548387097
CAAZ,2021-11-01,141.3,25.376666666666665
CAAZ,2021-12-01,25.7,26.703225806451613
CAAZ,2022-01-01,105.0,29.661290322580644
CAAZ,2022-02-01,82.0,27.932142857142857
CAAZ,2022-03-01,270.2,24.296774193548387
CAAZ,2022-04-01,206.29999999999998,22.18
CAAZ,2022-05-01,143.6,16.466129032258063
CAAZ,2022-06-01,43.400000000000006,15.283333333333333
CAAZ,2022-07-01,41.2,20.54516129032258
CAAZ,2022-08-01,48.0,17.651612903225807
CAAZ,2022-09-01,132.7,18.013333333333332
CAAZ,2022-10-01,259.0,20.23225806451613
CAAZ,2022-11-01,82.9,22.82
CAAZ,2022-12-01,80.7,26.932258064516127
CAAZ,2023-01-01,77.0,27.154838709677417
CAAZ,2023-02-01,,
CAAZ,2023-03-01,,25.780645161290323
CAAZ,2023-04-01,132.6,20.846666666666668
CAAZ,2023-05-01,130.6,18.793548387096774
CAAZ,2023-06-01,48.5,18.02
CAAZ,2023-07-01,96.5,18.496774193548386
CAAZ,2023-08-01,81.6,20.480645161290322
CAAZ,2023-09-01,182.0,22.993333333333332
CAAZ,2023-10-01,365.6,22.787096774193547
CAAZ,2023-11-01,378.2,24.946666666666665
CAAZ,2023-12-01,363.79999999999995,26.51290322580645
CMEZA,2000-01-01,198.9,25.029032258064515
CMEZA,2000-02-01,120.3,24.21034482758621
CMEZA,2000-03-01,220.70000000000002,22.770967741935483
CMEZA,2000-04-01,192.7,20.826666666666664
CMEZA,2000-05-01,122.0,16.02258064516129
CMEZA,2000-06-01,162.0,16.703333333333333
CMEZA,2000-07-01,77.6,11.422580645161291
CMEZA,2000-08-01,50.300000000000004,16.81935483870968
CMEZA,2000-09-01,126.9,18.376666666666665
